timestamp,rep,action,notes
2025-08-25 09:12,Alex,call,Intro call with Allied Towing
2025-08-25 11:05,Jordan,call,Left VM; follow-up set
2025-08-25 13:22,Sam,demo,30-min demo with Braman
2025-08-26 10:07,Alex,call,Qualified; DM present
2025-08-26 14:46,Jordan,demo,Demo for 12-vehicle fleet
2025-08-27 09:31,Sam,call,Booked demo for Fri
2025-08-27 15:58,Alex,pilot,Pilot scope agreed
2025-08-28 10:11,Jordan,deal,Closed 25-vehicle 3-cam config
2025-08-28 16:22,Sam,call,Inbound: Roadside 18 vehicles
2025-08-29 10:05,Alex,call,Recap + next step
